timestamp,hostname,pid,nome,usuario,cpu,ram_percent,ram_mb,status,tempo_execucao,latencia_ms
2026-06-01 10:09:45,Jortieke,0,System Idle Process,NT AUTHORITY\SYSTEM,95.61,0.0,0.01,running,20605d 13h 9min,3.53
2026-06-01 10:09:45,Jortieke,4,System,NT AUTHORITY\SYSTEM,0.94,0.0,0.01,running,20605d 13h 9min,3.44
2026-06-01 10:09:45,Jortieke,236,,,0.0,0.54,42.26,stopped,7d 0h 40min,4.17
2026-06-01 10:09:45,Jortieke,280,Registry,,0.0,0.14,11.15,running,7d 0h 40min,3.7
2026-06-01 10:09:45,Jortieke,832,smss.exe,,0.0,0.0,0.0,running,7d 0h 40min,3.28
2026-06-01 10:09:45,Jortieke,920,svchost.exe,,0.0,0.19,14.63,running,7d 0h 39min,3.71
2026-06-01 10:09:46,Jortieke,1264,ipf_uf.exe,,0.0,0.02,1.28,running,0d 8h 37min,3.42
2026-06-01 10:09:46,Jortieke,1272,csrss.exe,,0.0,0.01,1.14,running,7d 0h 39min,3.54
2026-06-01 10:09:46,Jortieke,1372,ShellExperienceHost.exe,JORTIEKE\ricar,0.0,0.0,0.1,stopped,0d 0h 37min,0.05
2026-06-01 10:09:46,Jortieke,1380,wininit.exe,,0.0,0.01,0.46,running,7d 0h 39min,3.31
2026-06-01 10:09:46,Jortieke,1456,services.exe,,0.0,0.09,7.31,running,7d 0h 39min,3.47
2026-06-01 10:09:46,Jortieke,1476,LsaIso.exe,,0.0,0.0,0.0,running,7d 0h 39min,3.52
2026-06-01 10:09:46,Jortieke,1484,lsass.exe,,0.0,0.12,9.82,running,7d 0h 39min,3.37
2026-06-01 10:09:46,Jortieke,1616,svchost.exe,,0.0,0.29,22.52,running,7d 0h 39min,3.29
2026-06-01 10:09:47,Jortieke,1648,fontdrvhost.exe,,0.0,0.0,0.02,running,7d 0h 39min,3.46
2026-06-01 10:09:47,Jortieke,1736,WUDFHost.exe,,0.0,0.0,0.06,running,7d 0h 39min,3.38
2026-06-01 10:09:47,Jortieke,1860,svchost.exe,,0.0,0.15,12.21,running,7d 0h 39min,3.32
2026-06-01 10:09:47,Jortieke,1964,svchost.exe,,0.0,0.04,2.93,running,7d 0h 39min,5.52
2026-06-01 10:09:47,Jortieke,2068,svchost.exe,,0.0,0.01,0.84,running,7d 0h 39min,3.58
2026-06-01 10:09:47,Jortieke,2124,svchost.exe,,0.0,0.02,1.4,running,7d 0h 39min,3.56
2026-06-01 10:09:47,Jortieke,2132,svchost.exe,,0.0,0.08,6.29,running,7d 0h 39min,3.16
2026-06-01 10:09:47,Jortieke,2140,svchost.exe,,0.0,0.02,1.57,running,7d 0h 39min,3.53
2026-06-01 10:09:48,Jortieke,2344,svchost.exe,,0.0,0.02,1.78,running,7d 0h 39min,3.49
2026-06-01 10:09:48,Jortieke,2392,svchost.exe,,0.0,0.03,2.23,running,7d 0h 39min,3.98
2026-06-01 10:09:48,Jortieke,2412,IntelCpHDCPSvc.exe,,0.0,0.0,0.05,running,7d 0h 39min,5.45
2026-06-01 10:09:48,Jortieke,2424,svchost.exe,,0.0,0.01,1.07,running,7d 0h 39min,4.88
2026-06-01 10:09:48,Jortieke,2520,svchost.exe,,0.0,0.08,6.34,running,7d 0h 39min,6.53
2026-06-01 10:09:48,Jortieke,2604,svchost.exe,,0.0,0.02,1.51,running,7d 0h 39min,6.59
2026-06-01 10:09:48,Jortieke,2624,svchost.exe,,0.0,0.02,1.36,running,7d 0h 39min,4.57
2026-06-01 10:09:49,Jortieke,2640,svchost.exe,,0.0,0.04,3.55,running,0d 15h 2min,4.54
2026-06-01 10:09:49,Jortieke,2776,svchost.exe,,0.0,0.11,9.03,running,7d 0h 39min,4.02
2026-06-01 10:09:49,Jortieke,2852,svchost.exe,,0.0,0.07,5.27,running,7d 0h 39min,4.14
2026-06-01 10:09:49,Jortieke,2900,svchost.exe,,0.0,0.01,0.91,running,7d 0h 39min,4.82
2026-06-01 10:09:49,Jortieke,2960,svchost.exe,,0.0,0.04,2.93,running,6d 22h 39min,6.7
2026-06-01 10:09:49,Jortieke,2976,WUDFHost.exe,,0.0,0.0,0.06,running,7d 0h 39min,5.58
2026-06-01 10:09:49,Jortieke,3040,svchost.exe,,0.0,0.07,5.52,running,7d 0h 39min,4.8
