timestamp,pid,nome,usuario,cpu_percent,ram_percent,ram_mb,latency_ms,status,uptime
2026-03-16 06:45:00,3456,proc_asm,srv_sagitario,0.1,1.8,134,4,sleeping,24d 3h
2026-03-16 06:45:00,1234,proc_correlation,srv_sagitario,1.8,0.7,236,1,sleeping,1d 2h
2026-03-16 06:45:00,9921,proc_db,db_admin,15.1,14.5,1716,11,running,21d 22h
2026-03-16 06:45:00,8854,radar_data_ingestion,srv_sagitario,9.4,9.7,263,47,running,25d 5h
2026-03-16 06:45:00,4432,flight_plan_manager,srv_sagitario,0.7,1.1,192,3,sleeping,3d 12h
2026-03-16 06:45:00,7685,traffic_control_gui,leticia,0.0,0.1,44,0,stopped,20d 8h
2026-03-16 06:45:00,1102,ops_reporting_srv,srv_sagitario,19.6,7.1,1025,44,running,3d 17h
2026-03-16 06:45:00,5567,network_sync_gateway,root,1.3,5.3,205,6,sleeping,23d 2h
2026-03-16 06:45:00,2234,security_auth_srv,root,0.5,1.9,60,7,sleeping,28d 3h
2026-03-16 06:45:00,3341,log_collector,srv_sagitario,0.9,5.0,103,11,sleeping,12d 6h
2026-03-16 06:45:00,4456,alert_generator,srv_sagitario,1.4,4.2,56,5,sleeping,18d 23h
2026-03-16 06:45:00,5578,historical_archiver,srv_sagitario,0.9,1.8,347,7,sleeping,22d 10h
2026-03-16 06:45:00,1123,backup_engine,root,20.5,19.0,896,24,running,13d 8h
2026-03-16 06:45:00,2245,audit_service,root,1.8,3.5,181,6,sleeping,21d 15h
2026-03-16 06:45:00,8876,maintenance_shell,leticia,0.0,0.6,82,0,stopped,15d 4h
2026-03-16 06:46:00,3456,proc_asm,srv_sagitario,9.9,14.2,1779,45,running,19d 13h
2026-03-16 06:46:00,1234,proc_correlation,srv_sagitario,0.8,1.5,90,15,sleeping,3d 1h
2026-03-16 06:46:00,9921,proc_db,db_admin,0.3,1.1,236,2,sleeping,13d 12h
2026-03-16 06:46:00,8854,radar_data_ingestion,srv_sagitario,0.9,1.7,303,0,sleeping,22d 23h
2026-03-16 06:46:00,4432,flight_plan_manager,srv_sagitario,22.7,18.1,946,27,running,4d 9h
2026-03-16 06:46:00,7685,traffic_control_gui,leticia,0.0,0.7,58,0,stopped,1d 23h
2026-03-16 06:46:00,1102,ops_reporting_srv,srv_sagitario,10.3,18.0,1289,42,running,30d 3h
2026-03-16 06:46:00,5567,network_sync_gateway,root,11.0,13.6,657,50,running,5d 11h
2026-03-16 06:46:00,2234,security_auth_srv,root,15.8,20.6,1476,43,running,11d 15h
2026-03-16 06:46:00,3341,log_collector,srv_sagitario,1.9,5.3,177,7,sleeping,2d 7h
2026-03-16 06:46:00,4456,alert_generator,srv_sagitario,23.9,17.4,391,15,running,25d 17h
2026-03-16 06:46:00,5578,historical_archiver,srv_sagitario,7.6,21.1,588,40,running,9d 16h
2026-03-16 06:46:00,1123,backup_engine,root,13.5,20.8,1796,23,running,24d 22h
2026-03-16 06:46:00,2245,audit_service,root,0.6,6.0,211,14,sleeping,29d 16h
2026-03-16 06:46:00,8876,maintenance_shell,leticia,0.0,0.7,31,0,stopped,8d 2h
2026-03-16 06:47:00,3456,proc_asm,srv_sagitario,16.8,15.0,264,24,running,3d 22h
2026-03-16 06:47:00,1234,proc_correlation,srv_sagitario,0.5,5.5,189,2,sleeping,17d 7h
2026-03-16 06:47:00,9921,proc_db,db_admin,14.7,7.2,1419,44,running,19d 15h
2026-03-16 06:47:00,8854,radar_data_ingestion,srv_sagitario,14.5,8.2,448,36,running,22d 13h
2026-03-16 06:47:00,4432,flight_plan_manager,srv_sagitario,13.2,16.4,1573,13,running,4d 1h
2026-03-16 06:47:00,7685,traffic_control_gui,leticia,0.0,0.6,43,0,stopped,26d 3h
2026-03-16 06:47:00,1102,ops_reporting_srv,srv_sagitario,0.4,2.8,236,5,sleeping,9d 14h
2026-03-16 06:47:00,5567,network_sync_gateway,root,1.8,2.8,301,3,sleeping,2d 20h
2026-03-16 06:47:00,2234,security_auth_srv,root,21.7,20.7,734,15,running,6d 13h
2026-03-16 06:47:00,3341,log_collector,srv_sagitario,0.4,2.5,50,5,sleeping,13d 0h
2026-03-16 06:47:00,4456,alert_generator,srv_sagitario,10.3,9.8,1676,39,running,24d 17h
2026-03-16 06:47:00,5578,historical_archiver,srv_sagitario,1.0,1.3,131,1,sleeping,19d 23h
2026-03-16 06:47:00,1123,backup_engine,root,1.5,0.5,319,15,sleeping,17d 16h
2026-03-16 06:47:00,2245,audit_service,root,1.9,0.7,115,2,sleeping,20d 2h
2026-03-16 06:47:00,8876,maintenance_shell,leticia,0.0,1.0,30,0,stopped,13d 3h
2026-03-16 06:48:00,3456,proc_asm,srv_sagitario,1.1,3.6,40,2,sleeping,14d 21h
2026-03-16 06:48:00,1234,proc_correlation,srv_sagitario,1.0,5.6,124,10,sleeping,8d 8h
2026-03-16 06:48:00,9921,proc_db,db_admin,18.4,12.8,1789,29,running,30d 2h
2026-03-16 06:48:00,8854,radar_data_ingestion,srv_sagitario,17.4,21.9,400,46,running,18d 6h
