timestamp,hostname,pid,nome,usuario,cpu,ram_percent,ram_mb,status,tempo_execucao,latencia_ms
2026-06-01 18:10:27,DESKTOP-N99CUBI,0,System Idle Process,NT AUTHORITY\SYSTEM,92.9,0.0,0.01,running,20605d 21h 10min,4.92
2026-06-01 18:10:27,DESKTOP-N99CUBI,4,System,NT AUTHORITY\SYSTEM,0.0,0.01,2.78,running,20605d 21h 10min,1.78
2026-06-01 18:10:27,DESKTOP-N99CUBI,236,,,0.0,0.33,108.5,stopped,8d 5h 47min,2.09
2026-06-01 18:10:28,DESKTOP-N99CUBI,280,Registry,,0.0,0.18,58.04,running,8d 5h 47min,2.15
2026-06-01 18:10:28,DESKTOP-N99CUBI,828,smss.exe,,0.0,0.0,0.62,running,8d 5h 47min,2.63
2026-06-01 18:10:28,DESKTOP-N99CUBI,1000,csrss.exe,,0.0,0.01,3.39,running,8d 5h 47min,1.87
2026-06-01 18:10:28,DESKTOP-N99CUBI,1020,svchost.exe,,0.0,0.02,7.55,running,8d 5h 47min,2.55
2026-06-01 18:10:28,DESKTOP-N99CUBI,1072,svchost.exe,,0.0,0.01,2.89,running,8d 5h 47min,2.72
2026-06-01 18:10:28,DESKTOP-N99CUBI,1160,wininit.exe,,0.0,0.02,5.18,running,8d 5h 47min,3.46
2026-06-01 18:10:28,DESKTOP-N99CUBI,1288,services.exe,,0.0,0.04,11.45,running,8d 5h 47min,2.47
2026-06-01 18:10:28,DESKTOP-N99CUBI,1332,LsaIso.exe,,0.0,0.01,1.72,running,8d 5h 47min,1.79
2026-06-01 18:10:29,DESKTOP-N99CUBI,1340,lsass.exe,,0.0,0.08,25.91,running,8d 5h 47min,2.71
2026-06-01 18:10:29,DESKTOP-N99CUBI,1364,svchost.exe,,0.0,0.06,20.97,running,8d 5h 47min,1.92
2026-06-01 18:10:29,DESKTOP-N99CUBI,1412,svchost.exe,,0.0,0.02,6.08,running,8d 5h 47min,2.74
